Id,Category
0,11
1,10
2,11
3,10
4,11
5,10
6,17
7,11
8,11
9,10
10,11
11,11
12,17
13,11
14,11
15,11
16,11
17,11
18,10
19,17
20,17
21,11
22,11
23,10
24,11
25,10
26,11
27,10
28,10
29,10
30,11
31,11
32,11
33,10
34,11
35,10
36,10
37,11
38,11
39,10
40,11
41,11
42,11
43,11
44,10
45,10
46,10
47,10
48,11
49,11
50,10
51,10
52,10
53,10
54,10
55,11
56,11
57,10
58,11
59,10
60,11
61,10
62,10
63,10
64,10
65,10
66,10
67,11
68,10
69,11
70,10
71,10
72,11
73,11
74,11
75,10
76,10
77,10
78,10
79,11
80,11
81,11
82,11
83,10
84,11
85,11
86,11
87,10
88,10
89,10
90,17
91,11
92,11
93,11
94,10
95,11
96,11
97,11
98,10
99,11
100,11
101,10
102,10
103,11
104,11
105,11
106,17
107,11
108,11
109,10
110,10
111,11
112,10
113,10
114,10
115,11
116,10
117,11
118,10
119,10
120,17
121,10
122,11
123,11
124,11
125,11
126,11
127,11
128,11
129,10
130,10
131,11
132,11
133,11
134,10
135,10
136,11
137,10
138,11
139,11
140,11
141,10
142,10
143,11
144,11
145,11
146,17
147,10
148,10
149,11
150,17
151,10
152,10
153,10
154,10
155,11
156,11
157,10
158,11
159,10
160,10
161,11
162,10
163,11
164,11
165,11
166,11
167,11
168,17
169,11
170,11
171,10
172,10
173,11
174,10
175,11
176,11
177,11
178,10
179,11
180,11
181,11
182,10
183,11
184,10
185,10
186,17
187,11
188,10
189,11
190,17
191,10
192,10
193,11
194,11
195,11
196,11
197,10
198,10
199,10
200,11
201,11
202,10
203,11
204,10
205,10
206,10
207,10
208,10
209,10
210,10
211,17
212,10
213,10
214,10
215,11
216,10
217,10
218,10
219,11
220,10
221,17
222,17
223,11
224,10
225,11
226,11
227,10
228,10
229,10
230,10
231,11
232,10
233,10
234,11
235,10
236,10
237,10
238,11
239,10
240,10
241,10
242,11
243,10
244,10
245,10
246,11
247,10
248,11
249,10
250,11
251,11
252,11
253,10
254,10
255,11
256,10
257,10
258,10
259,11
260,11
261,11
262,10
263,11
264,11
265,10
266,10
267,11
268,10
269,11
270,11
271,11
272,10
273,11
274,11
275,10
276,10
277,11
278,10
279,17
280,11
281,10
282,10
283,11
284,10
285,10
286,11
287,11
288,10
289,10
290,10
291,11
292,11
293,17
294,11
295,11
296,10
297,11
298,11
299,10
300,11
301,11
302,11
303,10
304,10
305,11
306,10
307,10
308,10
309,11
310,10
311,11
312,11
313,10
314,11
315,10
316,11
317,10
318,10
319,10
320,11
321,10
322,10
323,10
324,11
325,10
326,11
327,11
328,10
329,11
330,10
331,10
332,10
333,11
334,11
335,11
336,10
337,10
338,10
339,11
340,10
341,10
342,11
343,11
344,11
345,10
346,10
347,10
348,11
349,11
350,11
351,17
352,11
353,11
354,11
355,11
356,11
357,10
358,17
359,10
360,10
361,11
362,11
363,10
364,10
365,10
366,11
367,11
368,11
369,11
370,10
371,10
372,11
373,10
374,11
375,11
376,11
377,11
378,10
379,10
380,10
381,11
382,17
383,10
384,11
385,10
386,11
387,11
388,11
389,10
390,10
391,10
392,10
393,17
394,11
395,11
396,11
397,11
398,10
399,11
400,11
401,11
402,11
403,11
404,10
405,11
406,10
407,11
408,11
409,11
410,11
411,10
412,11
413,10
414,10
415,10
416,11
417,10
418,11
419,11
420,11
421,10
422,10
423,10
424,10
425,10
426,11
427,10
428,11
429,11
430,17
431,11
432,10
433,10
434,10
435,10
436,10
437,10
438,11
439,11
440,10
441,10
442,11
443,10
444,11
445,11
446,10
447,11
448,11
449,11
450,11
451,10
452,11
453,10
454,10
455,10
456,17
457,10
458,10
